user,item,title,rating
196,242,Kolya (1996),3
186,302,L.A. Confidential (1997),3
22,377,Heavyweights (1994),1
244,51,Legends of the Fall (1994),2
166,346,Jackie Brown (1997),1
298,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4
115,265,"Hunt for Red October, The (1990)",2
253,465,"Jungle Book, The (1994)",5
305,451,Grease (1978),3
6,86,"Remains of the Day, The (1993)",3
62,257,Men in Black (1997),2
286,1014,Romy and Michele's High School Reunion (1997),5
200,222,Star Trek: First Contact (1996),5
210,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3
224,29,Batman Forever (1995),3
303,785,Only You (1994),3
122,387,"Age of Innocence, The (1993)",5
194,274,Sabrina (1995),2
291,1042,Just Cause (1995),4
234,1184,"Endless Summer 2, The (1994)",2
119,392,"Man Without a Face, The (1993)",4
167,486,Sabrina (1954),4
299,144,Die Hard (1988),4
291,118,Twister (1996),2
308,1,Toy Story (1995),4
95,546,Broken Arrow (1996),2
38,95,Aladdin (1992),5
102,768,Casper (1995),2
63,277,Restoration (1995),4
160,234,Jaws (1975),5
50,246,Chasing Amy (1997),3
301,98,"Silence of the Lambs, The (1991)",4
225,193,"Right Stuff, The (1983)",4
290,88,Sleepless in Seattle (1993),4
97,194,"Sting, The (1973)",3
157,274,Sabrina (1995),4
181,1081,Curdled (1996),1
278,603,Rear Window (1954),5
276,796,Speechless (1994),1
7,32,Crumb (1994),4
10,16,French Twist (Gazon maudit) (1995),4
284,304,Fly Away Home (1996),4
201,979,"Trigger Effect, The (1996)",2
276,564,Tales from the Hood (1995),3
287,327,Cop Land (1997),5
246,201,Evil Dead II (1987),5
242,1137,Beautiful Thing (1996),5
249,241,"Last of the Mohicans, The (1992)",5
99,4,Get Shorty (1995),5
178,332,Kiss the Girls (1997),3
251,100,Fargo (1996),4
81,432,Fantasia (1940),2
260,322,Murder at 1600 (1997),4
25,181,Return of the Jedi (1983),5
59,196,Dead Poets Society (1989),5
72,679,Conan the Barbarian (1981),2
87,384,Naked Gun 33 1/3: The Final Insult (1994),4
290,143,"Sound of Music, The (1965)",5
42,423,E.T. the Extra-Terrestrial (1982),5
292,515,"Boot, Das (1981)",4
115,20,Angels and Insects (1995),3
20,288,Scream (1996),1
201,219,"Nightmare on Elm Street, A (1984)",4
13,526,Ben-Hur (1959),3
246,919,"City of Lost Children, The (1995)",4
138,26,"Brothers McMullen, The (1995)",5
167,232,Young Guns (1988),1
60,427,To Kill a Mockingbird (1962),5
57,304,Fly Away Home (1996),5
223,274,Sabrina (1995),4
189,512,Wings of Desire (1987),4
243,15,Mr. Holland's Opus (1995),3
92,1049,House Arrest (1996),1
246,416,Old Yeller (1957),3
194,165,Jean de Florette (1986),4
241,690,Seven Years in Tibet (1997),2
